Country,PopulationInThousands
Afghanistan,38928
Albania,2878
Algeria,43851
Andorra,77
Angola,29780
"Antigua and Barbuda",98
Argentina,45196
Armenia,2963
Aruba,107
Australia,25500
Austria,9006
Azerbaijan,10139
Bahamas,395
Bahrain,1702
Bangladesh,164689
Barbados,287
Belarus,9449
Belgium,11590
Belize,375
Benin,12123
Bhutan,772
Bolivia,11673
"Bosnia and Herzegovina",3281
Botswana,2292
Brazil,212559
Brunei,437
Bulgaria,6948
Burkina Faso,20903
Burma,53370
Burundi,10860
"Cabo Verde",546
Cambodia,16719
Cameroon,26546
Canada,37742
"Central African Republic",4830
Chad,14900
Chile,19116
China,1439324
Colombia,50883
"Congo (Brazzaville)",5518
"Congo (Kinshasa)",89561
Costa Rica,5094
Cote d'Ivoire,26378
Croatia,4105
"Diamond Princess",3.7
Dominica,74
Cuba,11327
Cyprus,1207
Czechia,10709
Denmark,5792
Djibouti,957
"Dominican Republic",10848
Ecuador,17643
Egypt,102334
"El Salvador",6378
"Equatorial Guinea",1403
Eritrea,4475
Estonia,1327
Eswatini,1160
Ethiopia,114964
Fiji,905
Finland,5541
France,65274
Gabon,2226
Gambia,2101
Georgia,3989
Germany,83784
Ghana,31073
Greece,10423
Greenland,57
Grenada,108
Guatemala,17916
Guernsey,67052
Guinea,13133
"Guinea-Bissau",1861
Guyana,787
Holy See,1
Honduras,9905
Hungary,9660
Iceland,341
India,1380004
Indonesia,273524
Iran,83993
Iraq,40223
Ireland,4938
Israel,8656
Italy,60462
Jamaica,2961
Japan,126476
Jersey,97857
Jordan,10203
Haiti,10989
Kazakhstan,18777
Kyrgyzstan,6202
Kenya,53771
"Korea, South",51269
Kosovo,1793000
Kuwait,4271
Laos,6858
Latvia,1886
Lebanon,6825
Liberia,5058
Liechtenstein,38
Lithuania,2722
Luxembourg,626
Libya,6375
Malaysia,32366
Maldives,541
Malta,442
Madagascar,25570
Malawi,18620
Mali,18540
Martinique,375
Mauritania,4650
Mauritius,1265
Mexico,128933
Moldova,4034
Monaco,39
Mongolia,3278
Montenegro,628
Morocco,36911
Mozambique,29670
"MS Zaandam",1.8
Namibia,2541
Nepal,29137
Nicaragua,6218
Niger,21480
Netherlands,17135
New Zealand,4822
Nigeria,206140
North Macedonia,2083
Norway,5421
Oman,5107
Pakistan,220892
Panama,4315
"Papua New Guinea",8251
Paraguay,7133
Peru,32972
Philippines,109581
Poland,37847
Portugal,10197
Qatar,2881
Republic of the Congo,5518
Romania,19238
Russia,145934
Rwanda,12952
"Saint Kitts and Nevis",55
"Saint Lucia",184
"Saint Vincent and the Grenadines",111
San Marino,34
"Saudi Arabia",34814
Senegal,16744
Serbia,8737
Seychelles,98
"Sierra Leone",18620
Singapore,5850
Slovakia,5460
Slovenia,2079
Somalia,15893
South Africa,59309
Spain,46755
"Sri Lanka",21413
Sudan,43849
Suriname,587
Sweden,10099
Switzerland,8655
Syria,18270
Taiwan*,23817
Tanzania,59734
Thailand,69800
"The Bahamas",393
"The Gambia",2417
Timor-Leste,1296
Togo,8279
"Trinidad and Tobago",1399
Tunisia,11819
Turkey,84339
Uganda,42860
Ukraine,43734
"United Arab Emirates",9890
"United Kingdom",67886
Uruguay,3474
US,331003
Uzbekistan,33469
Venezuela,28436
Vietnam,97339
"West Bank and Gaza",4951
Zambia,17090 
Zimbabwe,16530
